url, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world
http://mashable.com/2014/06/17/peer-to-peer-business/,0.0,0.0,0.0,0.0,0.0,0.0
http://mashable.com/2013/02/14/nba-stats-data/,0.0,1.0,0.0,0.0,0.0,0.0
http://mashable.com/2014/01/04/5-most-negative-types-of-co-workers/,0.0,0.0,1.0,0.0,0.0,0.0
http://mashable.com/2013/11/06/mobli-carlos-slim/,0.0,0.0,0.0,1.0,0.0,0.0
http://mashable.com/2013/08/21/mark-malkoff-skype/,0.0,0.0,0.0,1.0,0.0,0.0
http://mashable.com/2014/05/30/samsung-galaxy-mega-2-fcc/,0.0,0.0,0.0,0.0,1.0,0.0
http://mashable.com/2013/04/11/psy-gentleman-audio-video-gangnam-style/,0.0,1.0,0.0,0.0,0.0,0.0
http://mashable.com/2013/09/25/procrastination-comic/,0.0,0.0,0.0,0.0,1.0,0.0
http://mashable.com/2013/06/13/social-makeover-vc-photography/,0.0,0.0,0.0,0.0,0.0,0.0
http://mashable.com/2013/06/18/dumb-ways-to-die-cannes/,0.0,1.0,0.0,0.0,0.0,0.0
http://mashable.com/2014/07/11/lets-talk-about-boyhood-with-richard-linklater-and-ellar-coltrane/,0.0,0.0,1.0,0.0,0.0,0.0
http://mashable.com/2014/10/15/highest-observation-deck/,0.0,0.0,0.0,0.0,0.0,0.0
http://mashable.com/2013/02/21/michelle-obama-bangs-midlife-crisis/,0.0,0.0,0.0,0.0,0.0,0.0
http://mashable.com/2013/05/01/happy-faces-pareidolia/,0.0,0.0,0.0,0.0,0.0,0.0
http://mashable.com/2013/10/30/google-glass-driving-ticket/,0.0,0.0,0.0,0.0,0.0,1.0
http://mashable.com/2013/04/09/stephen-colbert-bill-clinton-tweet/,0.0,0.0,0.0,1.0,0.0,0.0
http://mashable.com/2014/08/24/earthquake-jolts-napa-region-of-northern-california/,0.0,1.0,0.0,0.0,0.0,0.0
http://mashable.com/2014/03/20/south-korean-schools/,0.0,0.0,0.0,0.0,0.0,1.0
