 n_tokens_title, n_tokens_content, n_unique_tokens, average_token_length, n_non_stop_words, n_non_stop_unique_tokens
12.0,1349.0,0.339058999,4.85174203113,0.99999999893,0.425668448743
10.0,554.0,0.531760434607,4.72202166065,0.999999997067,0.700879763341
13.0,751.0,0.427792914949,4.48202396804,0.999999997758,0.578475335026
12.0,1207.0,0.478897501741,4.70671085336,0.999999998603,0.664804468345
13.0,329.0,0.616564415287,5.13069908815,0.999999995,0.764999996175
11.0,223.0,0.644144141243,4.32286995516,0.999999992647,0.786764700097
11.0,796.0,0.463786530542,4.1243718593,0.999999997792,0.653421632112
10.0,1052.0,0.444444444007,4.57224334601,0.999999998355,0.641447367366
11.0,1877.0,0.441223832291,4.46616941929,0.999999999133,0.636048526312
10.0,468.0,0.541935482706,4.20512820513,0.999999996241,0.744360899457
10.0,1216.0,0.402812241189,4.80592105263,0.999999998496,0.610526314871
10.0,282.0,0.477611938516,4.45390070922,0.99999999375,0.543749996602
11.0,39.0,0.948717924392,5.30769230769,0.999999967742,0.935483840791
8.0,299.0,0.555160140373,5.08695652174,0.999999995122,0.60487804583
12.0,490.0,0.512345677958,5.48163265306,0.999999996622,0.682432430127
9.0,31.0,0.967741904266,5.77419354839,0.99999995,0.99999995
9.0,74.0,0.736111100887,4.47297297297,0.999999982143,0.749999986607
6.0,537.0,0.465618859596,5.21973929236,0.999999996997,0.582582580833
7.0,402.0,0.611548554825,4.54228855721,0.999999995816,0.769874473766
11.0,285.0,0.748062012604,4.57192982456,0.999999994565,0.853260864928
9.0,435.0,0.531615923814,4.65057471264,0.99999999631,0.682656824049
12.0,662.0,0.528771383315,4.45317220544,0.999999997573,0.686893202216
10.0,518.0,0.509018035052,4.90926640927,0.999999996979,0.640483381751
10.0,1146.0,0.433978872857,4.83071553229,0.999999998559,0.590778097131
14.0,446.0,0.556561084714,4.25784753363,0.999999996124,0.751937981582
11.0,3547.0,0.285959885305,4.614885819,0.999999999483,0.464562855424
12.0,377.0,0.528610352783,4.95225464191,0.999999995516,0.695067261457
6.0,1302.0,0.449768160394,4.8732718894,0.999999998728,0.631043256195
8.0,1250.0,0.25403225786,5.0784,0.999999998857,0.303999999653
10.0,109.0,0.740740733882,4.61467889908,0.999999986111,0.833333321759
8.0,224.0,0.630841118547,4.83482142857,0.999999993103,0.74482758107
10.0,303.0,0.61347517513,4.95379537954,0.999999994595,0.75135134729
8.0,670.0,0.523449318421,4.51044776119,0.999999997347,0.742705568322
11.0,333.0,0.584337347638,4.5045045045,0.999999994505,0.785714281397
6.0,2808.0,0.382540277114,4.7061965812,0.99999999944,0.524076147523
11.0,944.0,0.522651933124,4.4406779661,0.999999998179,0.723132967717
11.0,241.0,0.5990990964,4.4398340249,0.999999992126,0.740157474487
11.0,478.0,0.542299348064,4.589958159,0.999999996599,0.717687072389
13.0,488.0,0.523109242599,4.65983606557,0.999999996516,0.665505224162
12.0,1146.0,0.473730297308,4.52356020942,0.999999998425,0.716535431942
9.0,504.0,0.530120480863,4.87896825397,0.99999999654,0.702422142898
11.0,282.0,0.745098036294,4.5390070922,0.999999994382,0.865168534465
11.0,477.0,0.576595743454,5.2536687631,0.999999997118,0.64553313935
