 global_sentiment_polarity, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity
0.0725960176895,0.6,0.4,0.409267676768,0.05,1.0,-0.225512820513,-0.8,-0.0769230769231
0.210050378471,0.772727272727,0.227272727273,0.437764196588,0.0333333333333,1.0,-0.287777777778,-0.5,-0.155555555556
0.17071093589,0.837837837838,0.162162162162,0.291251221896,0.05,0.6,-0.193154761905,-0.6,-0.05
0.168799090745,0.756756756757,0.243243243243,0.400436765615,0.0333333333333,1.0,-0.250308641975,-0.6,-0.1
0.0843044077135,0.6875,0.3125,0.321487603306,0.136363636364,0.5,-0.243333333333,-0.5,-0.05
0.0348958333333,0.5,0.5,0.358333333333,0.2,0.5,-0.186111111111,-0.25,-0.125
0.190054446582,0.681818181818,0.318181818182,0.448414141414,0.136363636364,0.85,-0.193891723356,-0.7,-0.0714285714286
0.164609781604,0.844827586207,0.155172413793,0.348644977472,0.0625,1.0,-0.301851851852,-0.7,-0.05
0.144115042046,0.677419354839,0.322580645161,0.390370542156,0.05,1.0,-0.268611111111,-1.0,-0.0333333333333
0.0994841269841,0.636363636364,0.363636363636,0.394642857143,0.1,1.0,-0.261631944444,-0.5,-0.05
0.0974342352092,0.727272727273,0.272727272727,0.365919462482,0.1,1.0,-0.384711199295,-1.0,-0.05
0.352941176471,0.928571428571,0.0714285714286,0.476923076923,0.2,0.7,-0.2,-0.2,-0.2
0.240340909091,1.0,0.0,0.292272727273,0.136363636364,0.5,0.0,0.0,0.0
0.321295749705,0.833333333333,0.166666666667,0.5379004329,0.136363636364,1.0,-0.295833333333,-0.5,-0.1875
0.0774384469697,0.59375,0.40625,0.417737525632,0.1,1.0,-0.212820512821,-0.5,-0.1
0.125,1.0,0.0,0.375,0.375,0.375,0.0,0.0,0.0
0.478787878788,1.0,0.0,0.478787878788,0.136363636364,1.0,0.0,0.0,0.0
0.0529297534617,0.53125,0.46875,0.305882352941,0.05,0.8,-0.187486772487,-0.666666666667,-0.05
0.0783296130952,0.576923076923,0.423076923077,0.469603174603,0.1,1.0,-0.374621212121,-0.9,-0.125
0.0807267665131,0.535714285714,0.464285714286,0.45019047619,0.16,1.0,-0.330897435897,-0.6,-0.1
0.069347041847,0.8,0.2,0.267117604618,0.1,0.5,-0.375,-0.5,-0.125
0.0960622993786,0.633333333333,0.366666666667,0.479391660971,0.136363636364,1.0,-0.277398989899,-0.5,-0.05
0.0366710584102,0.592592592593,0.407407407407,0.298224431818,0.0625,0.75,-0.211111111111,-0.6,-0.1
0.0747627497627,0.690476190476,0.309523809524,0.3039520824,0.0333333333333,1.0,-0.296367521368,-0.8,-0.05
0.175118431704,0.771428571429,0.228571428571,0.381681898349,0.1,0.8,-0.325173611111,-0.4,-0.125
0.0570456649832,0.59880239521,0.40119760479,0.329458766234,0.05,1.0,-0.260592868988,-1.0,-0.05
0.0669117647059,0.583333333333,0.416666666667,0.323214285714,0.0625,0.5,-0.225,-0.8,-0.05
0.146480409687,0.684210526316,0.315789473684,0.398104229104,0.0333333333333,1.0,-0.287731481481,-0.6,-0.05
0.241492313461,0.834782608696,0.165217391304,0.426462053571,0.0625,1.0,-0.535307017544,-0.7,-0.1875
0.341666666667,1.0,0.0,0.409375,0.2,0.5,0.0,0.0,0.0
0.0427083333333,0.5,0.5,0.43125,0.25,0.6,-0.303125,-0.5,-0.2
0.106186868687,0.578947368421,0.421052631579,0.425,0.1,0.8,-0.292361111111,-0.7,-0.155555555556
-0.00697064989518,0.533333333333,0.466666666667,0.375967261905,0.0625,0.7,-0.348478835979,-1.0,-0.075
0.011525974026,0.416666666667,0.583333333333,0.418701298701,0.136363636364,0.8,-0.260714285714,-0.5,-0.05
0.189742193884,0.782945736434,0.217054263566,0.392645514551,0.0333333333333,1.0,-0.281660997732,-0.7,-0.1
-0.0184300939174,0.504587155963,0.495412844037,0.431822707595,0.05,1.0,-0.44794973545,-1.0,-0.05
-0.00606060606061,0.4,0.6,0.3,0.1,0.5,-0.288888888889,-0.5,-0.166666666667
0.111444805195,0.8,0.2,0.259350649351,0.05,0.7,-0.215,-0.3,-0.125
0.0396999007937,0.551724137931,0.448275862069,0.30744047619,0.0333333333333,0.7,-0.284126984127,-0.5,-0.0714285714286
0.00469949494949,0.395348837209,0.604651162791,0.419362745098,0.0333333333333,1.0,-0.285122863248,-1.0,-0.025
0.0563888888889,0.666666666667,0.333333333333,0.263888888889,0.0333333333333,0.5,-0.168518518519,-0.3,-0.05
0.00508928571429,0.529411764706,0.470588235294,0.426481481481,0.1,1.0,-0.411041666667,-1.0,-0.00833333333333
0.0980939019828,0.666666666667,0.333333333333,0.322077922078,0.05,0.8,-0.282936507937,-0.6,-0.1
0.0031746031746,0.666666666667,0.333333333333,0.276904761905,0.1,0.5,-0.521111111111,-0.8,-0.155555555556
0.158766233766,0.75,0.25,0.299747474747,0.1,0.5,-0.2,-0.3,-0.1
0.127728974687,0.691176470588,0.308823529412,0.378366629824,0.05,1.0,-0.240052910053,-0.8,-0.05
0.240415518825,0.75,0.25,0.440202020202,0.1,1.0,-0.162777777778,-0.2,-0.125
0.0853277674706,0.692307692308,0.307692307692,0.260606060606,0.1,0.5,-0.138392857143,-0.2,-0.05
0.163708121589,0.763157894737,0.236842105263,0.328922227198,0.0333333333333,0.7,-0.229695767196,-0.6,-0.05
0.0624401913876,0.583333333333,0.416666666667,0.355194805195,0.05,0.8,-0.293333333333,-0.5,-0.133333333333
0.232894736842,0.8,0.2,0.55,0.2,1.0,-0.1875,-0.25,-0.125
0.143409090909,0.866666666667,0.133333333333,0.232167832168,0.05,0.5,-0.25,-0.4,-0.1
0.10502357491,0.611111111111,0.388888888889,0.297314049587,0.1,0.6,-0.194276556777,-0.4,-0.1
0.170210814826,0.790697674419,0.209302325581,0.304462694169,0.1,0.7,-0.256196581197,-0.6,-0.1
0.306528417819,0.857142857143,0.142857142857,0.471626984127,0.1,1.0,-0.333333333333,-0.6,-0.2
0.21375,0.666666666667,0.333333333333,0.4825,0.05,1.0,-0.2125,-0.3125,-0.1
0.091617259552,0.65,0.35,0.30048951049,0.1,1.0,-0.239880952381,-0.3125,-0.15
0.263636363636,0.777777777778,0.222222222222,0.5,0.2,1.0,-0.3,-0.4,-0.2
0.0278966131907,0.55,0.45,0.281763085399,0.1,0.6,-0.213888888889,-0.4,-0.1
0.267723562152,0.935897435897,0.0641025641026,0.416588685287,0.0333333333333,1.0,-0.44,-0.6,-0.3
0.122817460317,0.611111111111,0.388888888889,0.374242424242,0.1,0.7,-0.191071428571,-0.4,-0.05
0.0063002044252,0.473684210526,0.526315789474,0.39120971621,0.1,1.0,-0.353988095238,-1.0,-0.05
0.165083116883,0.782608695652,0.217391304348,0.392893217893,0.05,1.0,-0.465,-0.9,-0.125
0.120080808081,0.727272727273,0.272727272727,0.342045454545,0.136363636364,0.5,-0.318518518519,-0.4,-0.155555555556
0.197546620047,0.836538461538,0.163461538462,0.378572672538,0.0333333333333,1.0,-0.253221288515,-0.6,-0.0714285714286
-0.14,0.25,0.75,0.1,0.1,0.1,-0.322222222222,-0.7,-0.1
0.144453463203,0.933333333333,0.0666666666667,0.297835497835,0.1,1.0,-0.125,-0.125,-0.125
0.104209088237,0.7,0.3,0.375131416203,0.1,0.8,-0.235532407407,-0.5,-0.125
0.198407369146,0.806451612903,0.193548387097,0.395196969697,0.0333333333333,1.0,-0.191666666667,-0.4,-0.05
0.178645833333,0.947368421053,0.0526315789474,0.331481481481,0.0333333333333,0.8,-0.125,-0.125,-0.125
0.149781639929,0.723076923077,0.276923076923,0.383381689233,0.0333333333333,1.0,-0.29375,-0.8,-0.1
0.270408163265,0.868421052632,0.131578947368,0.395468975469,0.1,0.8,-0.35,-0.5,-0.1
0.13685535479,0.6875,0.3125,0.364939984258,0.0333333333333,0.9,-0.173333333333,-0.3,-0.05
0.131785714286,0.818181818182,0.181818181818,0.375694444444,0.0625,0.7,-0.1875,-0.3,-0.125
0.096875,0.571428571429,0.428571428571,0.35,0.1,0.6,-0.216666666667,-0.4,-0.125
0.123666666667,0.695652173913,0.304347826087,0.379375,0.1,0.8,-0.24880952381,-0.9,-0.0666666666667
0.0914823702867,0.571428571429,0.428571428571,0.356103896104,0.1,0.75,-0.245925925926,-0.7,-0.05
0.0431537598204,0.636363636364,0.363636363636,0.238701298701,0.1,0.5,-0.288541666667,-0.6,-0.166666666667
0.184318996416,0.7,0.3,0.544642857143,0.1,1.0,-0.318518518519,-1.0,-0.1
0.202056277056,1.0,0.0,0.227214452214,0.0333333333333,0.5,0.0,0.0,0.0
0.0587031024531,0.566666666667,0.433333333333,0.339393939394,0.1,0.7,-0.300320512821,-0.6,-0.025
0.233099755054,0.838383838384,0.161616161616,0.435123611328,0.0333333333333,1.0,-0.273003472222,-0.875,-0.1
0.115601772441,0.775,0.225,0.345410557185,0.05,1.0,-0.335648148148,-0.625,-0.125
0.0222269868496,0.478260869565,0.521739130435,0.278925619835,0.05,0.6,-0.212847222222,-1.0,-0.1
0.169365079365,0.766666666667,0.233333333333,0.471014492754,0.1,1.0,-0.479365079365,-1.0,-0.155555555556
-0.189393939394,0.272727272727,0.727272727273,0.3,0.2,0.5,-0.410416666667,-1.0,-0.166666666667
0.144623824451,0.789473684211,0.210526315789,0.342939393939,0.1,1.0,-0.2625,-0.5,-0.15
0.112242798354,0.744680851064,0.255319148936,0.267619047619,0.0333333333333,0.5,-0.324768518519,-0.7,-0.1
0.133333333333,0.789473684211,0.210526315789,0.345555555556,0.1,0.75,-0.2625,-0.5,-0.133333333333
0.262205387205,0.846153846154,0.153846153846,0.465426997245,0.136363636364,1.0,-0.3,-0.4,-0.2
0.177216646989,0.807692307692,0.192307692308,0.387015048444,0.136363636364,1.0,-0.164166666667,-0.25,-0.05
0.0579563492063,0.733333333333,0.266666666667,0.189383116883,0.0625,0.375,-0.225,-0.4,-0.1
0.190404040404,0.727272727273,0.272727272727,0.39375,0.1,1.0,-0.351851851852,-0.6,-0.155555555556
0.134815546772,0.9,0.1,0.257581770082,0.0333333333333,0.5,-0.275,-0.3,-0.25
0.190138352638,0.8,0.2,0.326462585034,0.05,1.0,-0.255442176871,-0.4,-0.0714285714286
-0.00396825396825,0.5,0.5,0.214285714286,0.214285714286,0.214285714286,-0.2,-0.2,-0.2
0.17380952381,0.714285714286,0.285714285714,0.4175,0.25,0.6,-0.13125,-0.2,-0.1
0.171620971621,0.777777777778,0.222222222222,0.323701298701,0.05,1.0,-0.363194444444,-1.0,-0.1
0.147423409923,0.823529411765,0.176470588235,0.276281307978,0.0333333333333,0.8,-0.258333333333,-0.4,-0.1
0.192257130125,1.0,0.0,0.236509324009,0.0625,0.5,0.0,0.0,0.0
0.0925,0.538461538462,0.461538461538,0.447619047619,0.1,0.8,-0.197222222222,-0.4,-0.05
-0.0382510577278,0.484848484848,0.515151515152,0.454017857143,0.1,1.0,-0.500534188034,-1.0,-0.0769230769231
0.213194444444,0.75,0.25,0.45,0.25,1.0,-0.363888888889,-0.5,-0.291666666667
0.151944444444,0.666666666667,0.333333333333,0.496875,0.2,1.0,-0.264583333333,-0.433333333333,-0.125
-0.0317283950617,0.55,0.45,0.209090909091,0.1,0.5,-0.337962962963,-1.0,-0.05
